,model,prompt,2%,5%,10%,20%,40%,score
0,gpt-3.5-turbo,prompt1,1.3112783151579888,0.4192933567826565,0.4229545691958091,0.20273897600156923,0.35027656890880843,1.0579555204289026
1,gpt-3.5-turbo,prompt2,1.2200344802902823,0.5216746634999807,0.16083909629613408,0.3805057154910179,0.5647645682127467,0.9996488907519137
2,gpt-3.5-turbo,prompt3,1.6321489782825367,0.5008337333224545,0.35544783965392507,0.3001320056860054,0.46018507099782446,1.30323614014888
3,gpt-3.5-turbo,prompt4,2.9167069427564494,0.34007819308971465,0.30572820703395426,0.1323795874272995,0.45207792481847103,2.1940982420787773
4,gpt-3.5-turbo,prompt5,1.2499518223882622,0.8793075615853403,0.25309704038984054,0.22181876673931186,0.20791827168660898,1.086014540860438
5,gpt-3.5-turbo,prompt6,1.0148125721671524,0.5560665810424618,0.26984417132645533,0.14193465271649436,0.44916002929127813,0.858438617715604
6,gpt-3.5-turbo,prompt7,0.9151820666982282,0.7803173860358397,0.37564829124625876,0.11440419411696913,0.46862174689950126,0.8338299387213951
7,gpt-3.5-turbo,prompt8,1.3291508539958778,0.45693697816125933,0.2892990775051843,0.13102658640512332,0.19001466578945803,1.066171977801443
8,gpt-4o,prompt1,0.3082697722648149,0.17903584350564336,0.16363215927213165,0.09561111583056439,0.14435274974769066,0.26915117926649385
9,gpt-4o,prompt2,0.33969397172506366,0.21215813684071438,0.28815061682223436,0.18646931219087998,0.1515136871012655,0.3080574590624558
10,gpt-4o,prompt3,0.2590884573616232,0.15633601831855343,0.16834254834994788,0.08835219523706464,0.1111798394819472,0.2293721056752695
11,gpt-4o,prompt4,0.38441757430176554,0.17674472736297162,0.22610298605183574,0.09167196061757377,0.12642787585391518,0.3275031435245498
12,gpt-4o,prompt5,0.2031288672256432,0.1143321790166626,0.24857916962140392,0.2200475332200188,0.3185610903316608,0.19116462973533502
13,gpt-4o,prompt9,0.4195063937411227,0.35432316107235784,0.19112911228209795,0.11270202379426655,0.11865344919084227,0.3834238670105541
14,gpt-4o,prompt10,0.5695871392469934,0.45131820273808637,0.18879282405011066,0.06799646020100288,0.1056936212476103,0.5082056258335902
15,gpt-4o,prompt11,1.0518610389890095,0.28897014223870265,0.23390164440814074,0.10069774289065267,0.08915890612972688,0.8302368060900279
